code;package_code;sequence;name;time_class;role_id;quantity_driver;measurement_scope;crew_rule;tool_ids;material_ids;preconditions;qa;notes
EL-RI-001-01;EL-RI-001;1;Разметить координаты, оси и высоту блока;T_tech;installer;block_qty;PER_BLOCK;1;TL-LASER | TL-TAPE | TL-MARK;;;;
EL-RI-001-02;EL-RI-001;2;Проверить отсутствие конфликта в зоне сверления;T_tech;installer;block_qty;PER_BLOCK;1;TL-LASER;;актуальная привязка;;
EL-RI-001-03;EL-RI-001;3;Прокоронить отверстие Ø68;T_tech;installer;primary_qty;PER_UNIT;1;TL-DRILL | TL-CROWN68 | TL-VAC;;;;
EL-RI-001-04;EL-RI-001;4;Удалить сердцевину и подготовить посадочное место;T_tech;installer;primary_qty;PER_UNIT;1;TL-DRILL | TL-VAC;;;;
EL-RI-001-05;EL-RI-001;5;Очистить отверстие от пыли и крошки;T_tech;installer;primary_qty;PER_UNIT;1;TL-VAC;;;;
EL-RI-001-06;EL-RI-001;6;Собрать/подготовить блок подрозетников;T_tech;installer;block_qty;PER_BLOCK;1;TL-HAND;MT-2689-05;;;
EL-RI-001-07;EL-RI-001;7;Замешать монтажный состав;T_tech;installer;package_batch;BATCH;1;TL-MIX;MT-ALABASTER | MT-GYPSUM;;;
EL-RI-001-08;EL-RI-001;8;Установить подрозетник/блок на состав;T_tech;installer;primary_qty;PER_UNIT;1;TL-MIX;MT-2689-05 | MT-ALABASTER | MT-GYPSUM;;;
EL-RI-001-09;EL-RI-001;9;Выставить горизонталь, глубину и межосевые расстояния;T_tech;installer;block_qty;PER_BLOCK;1;TL-LASER | TL-HAND;;;;
EL-RI-001-10;EL-RI-001;10;Удалить излишки состава и очистить коробки;T_tech;installer;block_qty;PER_BLOCK;1;TL-MIX;;;;
EL-RI-001-11;EL-RI-001;11;Контроль геометрии и фиксации;T_tech;installer;block_qty;PER_BLOCK;1;TL-LASER;;;координата | высота | горизонталь | глубина | жёсткость фиксации;
EL-RI-001-12;EL-RI-001;12;Локальная уборка зоны;T_tech;installer;package;FIXED_PACKAGE;1;TL-VAC;;;;
EL-RI-002-01;EL-RI-002;1;Разметить координаты, оси и высоту блока;T_tech;installer;block_qty;PER_BLOCK;1;TL-LASER | TL-TAPE | TL-MARK;;;;
EL-RI-002-02;EL-RI-002;2;Проверить каркас и свободное пространство за листом;T_tech;installer;block_qty;PER_BLOCK;1;TL-HAND;;конструкция стены доступна для проверки;;
EL-RI-002-03;EL-RI-002;3;Вырезать отверстие Ø68;T_tech;installer;primary_qty;PER_UNIT;1;TL-HOLLOW68 | TL-VAC;;;;
EL-RI-002-04;EL-RI-002;4;Очистить и проверить кромку отверстия;T_tech;installer;primary_qty;PER_UNIT;1;TL-HAND | TL-VAC;;;;
EL-RI-002-05;EL-RI-002;5;Подготовить коробку и вводы;T_tech;installer;primary_qty;PER_UNIT;1;TL-HAND;MT-2689-27;;;
EL-RI-002-06;EL-RI-002;6;Установить коробку в полую стену;T_tech;installer;primary_qty;PER_UNIT;1;TL-HAND;MT-2689-27;;;
EL-RI-002-07;EL-RI-002;7;Затянуть штатные лапки/фиксаторы;T_tech;installer;primary_qty;PER_UNIT;1;TL-HAND;;;;
EL-RI-002-08;EL-RI-002;8;Выставить положение блока;T_tech;installer;block_qty;PER_BLOCK;1;TL-LASER | TL-HAND;;;;
EL-RI-002-09;EL-RI-002;9;Контроль геометрии и жёсткости;T_tech;installer;block_qty;PER_BLOCK;1;TL-LASER;;;высота | горизонталь | глубина | жёсткость;
EL-RI-002-10;EL-RI-002;10;Локальная уборка зоны;T_tech;installer;package;FIXED_PACKAGE;1;TL-VAC;;;;
EL-RI-003-01;EL-RI-003;1;Сверить начало, конец, маркировку и маршрут линии;T_tech;installer;line_qty;PER_LINE;1;TL-TAPE;;актуальное задание;;
EL-RI-003-02;EL-RI-003;2;Разметить точки крепления по маршруту;T_tech;installer;route_length;PER_METER;1;TL-TAPE | TL-MARK | TL-LASER;;;;
EL-RI-003-03;EL-RI-003;3;Подготовить монтажный пистолет, площадки и расходники;T_tech;installer;package;FIXED_PACKAGE;1;TL-GUN;MT-2689-06 | MT-2689-12 | MT-2689-30;;;
EL-RI-003-04;EL-RI-003;4;Пристрелить площадки крепления;T_tech;installer;fastener_qty;PER_FASTENER;1;TL-GUN;MT-2689-06 | MT-2689-12 | MT-2689-30;;;
EL-RI-003-05;EL-RI-003;5;Установить бухту/катушку на размотку;T_tech;installer;line_qty;PER_LINE;1;TL-UNWIND;MT-2689-01 | MT-2689-02 | MT-2689-03 | MT-2689-04 | MT-2689-11 | MT-2689-36 | MT-2689-40;;;
EL-RI-003-06;EL-RI-003;6;Размотать и проложить кабель по маршруту;T_tech;installer;route_length;PER_METER;"1; допускается 2 по массе/длине/условиям маршрута";TL-UNWIND | TL-ACCESS;MT-2689-01 | MT-2689-02 | MT-2689-03 | MT-2689-04 | MT-2689-11 | MT-2689-36 | MT-2689-40;;;
EL-RI-003-07;EL-RI-003;7;Закрепить кабель стяжками на площадках;T_tech;installer;fastener_qty;PER_FASTENER;1;TL-HAND | TL-ACCESS;MT-2689-07;;;
EL-RI-003-08;EL-RI-003;8;Сформировать технологический запас на концах;T_tech;installer;line_end_qty;PER_LINE_END;1;TL-HAND;;;;
EL-RI-003-09;EL-RI-003;9;Промаркировать оба конца линии;T_tech;installer;line_end_qty;PER_LINE_END;1;TL-LABEL;MT-MARK;;;
