workPackageCode;packageName;resourceType;resourceId;resourceName
EL-RI-001;Подрозетники — твёрдые оштукатуренные стены;tool;TL-CROWN68;Коронка Ø68 для твёрдых стен
EL-RI-001;Подрозетники — твёрдые оштукатуренные стены;tool;TL-DRILL;Перфоратор / дрель
EL-RI-001;Подрозетники — твёрдые оштукатуренные стены;tool;TL-HAND;Комплект ручного электромонтажного инструмента
EL-RI-001;Подрозетники — твёрдые оштукатуренные стены;tool;TL-LASER;Лазерный уровень / построитель плоскостей
EL-RI-001;Подрозетники — твёрдые оштукатуренные стены;tool;TL-MARK;Разметочный инструмент
EL-RI-001;Подрозетники — твёрдые оштукатуренные стены;tool;TL-MIX;Ёмкость и инструмент для замешивания состава
EL-RI-001;Подрозетники — твёрдые оштукатуренные стены;tool;TL-TAPE;Рулетка
EL-RI-001;Подрозетники — твёрдые оштукатуренные стены;tool;TL-VAC;Промышленный пылесос
EL-RI-001;Подрозетники — твёрдые оштукатуренные стены;material;MT-2689-05;Коробка установочная С-3 блочная для твёрдых стен Ø68×60 со стыковочными узлами
EL-RI-001;Подрозетники — твёрдые оштукатуренные стены;material;MT-ALABASTER;Алебастр / быстротвердеющий гипсовый состав
EL-RI-001;Подрозетники — твёрдые оштукатуренные стены;material;MT-GYPSUM;Гипсовая штукатурка / медленный монтажный состав
EL-RI-002;Подрозетники — полые стены / каркасная система;tool;TL-HAND;Комплект ручного электромонтажного инструмента
EL-RI-002;Подрозетники — полые стены / каркасная система;tool;TL-HOLLOW68;Инструмент/коронка для отверстий Ø68 в полых стенах
EL-RI-002;Подрозетники — полые стены / каркасная система;tool;TL-LASER;Лазерный уровень / построитель плоскостей
EL-RI-002;Подрозетники — полые стены / каркасная система;tool;TL-MARK;Разметочный инструмент
EL-RI-002;Подрозетники — полые стены / каркасная система;tool;TL-TAPE;Рулетка
EL-RI-002;Подрозетники — полые стены / каркасная система;tool;TL-VAC;Промышленный пылесос
EL-RI-002;Подрозетники — полые стены / каркасная система;material;MT-2689-27;Коробка для полых стен / ГКЛ / ГВЛ Ø68×45 Schneider Electric IMT35150
EL-RI-003;Кабель по потолку — одиночная линия;tool;TL-ACCESS;Стремянка / подмости по высоте работ
EL-RI-003;Кабель по потолку — одиночная линия;tool;TL-GUN;Газовый монтажный пистолет
EL-RI-003;Кабель по потолку — одиночная линия;tool;TL-HAND;Комплект ручного электромонтажного инструмента
EL-RI-003;Кабель по потолку — одиночная линия;tool;TL-LABEL;Маркиратор / ручной комплект маркировки
EL-RI-003;Кабель по потолку — одиночная линия;tool;TL-LASER;Лазерный уровень / построитель плоскостей
EL-RI-003;Кабель по потолку — одиночная линия;tool;TL-MARK;Разметочный инструмент
EL-RI-003;Кабель по потолку — одиночная линия;tool;TL-TAPE;Рулетка
EL-RI-003;Кабель по потолку — одиночная линия;tool;TL-UNWIND;Устройство/место для размотки бухты кабеля
EL-RI-003;Кабель по потолку — одиночная линия;material;MT-2689-01;ВВГнг-LS 3×2,5(ож)-0,66 ГОСТ
EL-RI-003;Кабель по потолку — одиночная линия;material;MT-2689-02;ВВГ-LS 3×1,5
EL-RI-003;Кабель по потолку — одиночная линия;material;MT-2689-03;КГВВнг 5×0,75
EL-RI-003;Кабель по потолку — одиночная линия;material;MT-2689-04;КГВВнг(А)-LS 7×0,75
EL-RI-003;Кабель по потолку — одиночная линия;material;MT-2689-06;Площадка под стяжку для прямого монтажа, чёрная
EL-RI-003;Кабель по потолку — одиночная линия;material;MT-2689-07;Стяжка нейлоновая КСС 3×150 ч
EL-RI-003;Кабель по потолку — одиночная линия;material;MT-2689-11;ВВГнг-LS 4×1,5(ож)-0,66 ГОСТ
EL-RI-003;Кабель по потолку — одиночная линия;material;MT-2689-12;Гвоздь усиленный CN EG bullet point 3,05×17 мм
EL-RI-003;Кабель по потолку — одиночная линия;material;MT-2689-30;Газовый баллон для монтажных пистолетов 165 мм
EL-RI-003;Кабель по потолку — одиночная линия;material;MT-2689-36;КГВВнг 3×1,5
EL-RI-003;Кабель по потолку — одиночная линия;material;MT-2689-40;КГВВнг 3×2,5
EL-RI-003;Кабель по потолку — одиночная линия;material;MT-MARK;Материал для маркировки кабелей
EL-RI-004;Кабель по потолку — группа линий / пучок;tool;TL-ACCESS;Стремянка / подмости по высоте работ
EL-RI-004;Кабель по потолку — группа линий / пучок;tool;TL-GUN;Газовый монтажный пистолет
EL-RI-004;Кабель по потолку — группа линий / пучок;tool;TL-HAND;Комплект ручного электромонтажного инструмента
EL-RI-004;Кабель по потолку — группа линий / пучок;tool;TL-LABEL;Маркиратор / ручной комплект маркировки
EL-RI-004;Кабель по потолку — группа линий / пучок;tool;TL-LASER;Лазерный уровень / построитель плоскостей
EL-RI-004;Кабель по потолку — группа линий / пучок;tool;TL-MARK;Разметочный инструмент
EL-RI-004;Кабель по потолку — группа линий / пучок;tool;TL-TAPE;Рулетка
EL-RI-004;Кабель по потолку — группа линий / пучок;tool;TL-UNWIND;Устройство/место для размотки бухты кабеля
EL-RI-004;Кабель по потолку — группа линий / пучок;material;MT-2689-01;ВВГнг-LS 3×2,5(ож)-0,66 ГОСТ
EL-RI-004;Кабель по потолку — группа линий / пучок;material;MT-2689-02;ВВГ-LS 3×1,5
EL-RI-004;Кабель по потолку — группа линий / пучок;material;MT-2689-03;КГВВнг 5×0,75
EL-RI-004;Кабель по потолку — группа линий / пучок;material;MT-2689-04;КГВВнг(А)-LS 7×0,75
